Date,"Number of Chats",Weekname
2016-09-07,34464,Wednesday
2016-09-08,31363,Thursday
2016-09-09,22232,Friday
2016-09-10,13490,Saturday
2016-09-11,13143,Sunday
2016-09-12,19449,Monday
2016-09-13,34075,Tuesday
2016-09-14,27157,Wednesday
2016-09-15,29156,Thursday
2016-09-16,41371,Friday
2016-09-17,13536,Saturday
2016-09-18,13109,Sunday
2016-09-19,22965,Monday
2016-09-20,28771,Tuesday
2016-09-21,30378,Wednesday
2016-09-22,23232,Thursday
2016-09-23,17101,Friday
2016-09-24,14484,Saturday
2016-09-25,16806,Sunday
2016-09-26,21442,Monday
2016-09-27,39319,Tuesday
2016-09-28,30330,Wednesday
2016-09-29,21852,Thursday
2016-09-30,31230,Friday
2016-10-01,9501,Saturday
2016-10-02,9678,Sunday
2016-10-03,10233,Monday
2016-10-04,35753,Tuesday
2016-10-05,30295,Wednesday
2016-10-06,25352,Thursday
2016-10-07,54187,Friday
2016-10-08,13801,Saturday
2016-10-09,11660,Sunday
2016-10-10,20073,Monday
2016-10-11,29296,Tuesday
2016-10-12,28661,Wednesday
2016-10-13,23214,Thursday
2016-10-14,20209,Friday
2016-10-15,10085,Saturday
2016-10-16,9748,Sunday
2016-10-17,21271,Monday
2016-10-18,36814,Tuesday
2016-10-19,25401,Wednesday
2016-10-20,24305,Thursday
2016-10-21,21394,Friday
2016-10-22,9894,Saturday
2016-10-23,9858,Sunday
2016-10-24,21361,Monday
2016-10-25,26143,Tuesday
2016-10-26,25242,Wednesday
2016-10-27,23032,Thursday
2016-10-28,46621,Friday
2016-10-29,31182,Saturday
2016-10-30,18008,Sunday
2016-10-31,28633,Monday
2016-11-01,33006,Tuesday
2016-11-02,26445,Wednesday
2016-11-03,24240,Thursday
2016-11-04,17509,Friday
2016-11-05,8905,Saturday
2016-11-06,12023,Sunday
2016-11-07,19023,Monday
2016-11-08,34856,Tuesday
2016-11-09,28568,Wednesday
2016-11-10,20149,Thursday
2016-11-11,17794,Friday
2016-11-12,8736,Saturday
2016-11-13,10949,Sunday
2016-11-14,19431,Monday
2016-11-15,28718,Tuesday
2016-11-16,28883,Wednesday
2016-11-17,22601,Thursday
2016-11-18,58952,Friday
2016-11-19,12066,Saturday
2016-11-20,14256,Sunday
2016-11-21,19055,Monday
2016-11-22,28799,Tuesday
2016-11-23,25788,Wednesday
2016-11-24,31281,Thursday
2016-11-25,64151,Friday
2016-11-26,17292,Saturday
2016-11-27,9666,Sunday
2016-11-28,18284,Monday
2016-11-29,15833,Tuesday
2016-11-30,33627,Wednesday
2016-12-01,22941,Thursday
2016-12-02,27220,Friday
2016-12-03,8383,Saturday
2016-12-04,13046,Sunday
2016-12-05,21195,Monday
2016-12-06,16572,Tuesday
2016-12-07,26725,Wednesday
2016-12-08,16734,Thursday
2016-12-09,23485,Friday
2016-12-10,9265,Saturday
2016-12-11,11254,Sunday
2016-12-12,19078,Monday
2016-12-13,16592,Tuesday
2016-12-14,28416,Wednesday
2016-12-15,19617,Thursday
2016-12-16,22911,Friday
2016-12-17,9027,Saturday
2016-12-18,12156,Sunday
2016-12-19,16680,Monday
2016-12-20,15575,Tuesday
2016-12-21,23263,Wednesday
2016-12-22,23187,Thursday
2016-12-23,19218,Friday
2016-12-24,8455,Saturday
2016-12-25,7061,Sunday
2016-12-26,8452,Monday
2016-12-27,8662,Tuesday
2016-12-28,12592,Wednesday
2016-12-29,16568,Thursday
2016-12-30,18624,Friday
2016-12-31,9192,Saturday
2017-01-01,12377,Sunday
2017-01-02,18250,Monday
2017-01-03,16254,Tuesday
2017-01-04,21699,Wednesday
2017-01-05,17507,Thursday
2017-01-06,26067,Friday
2017-01-07,8398,Saturday
2017-01-08,11544,Sunday
2017-01-09,17067,Monday
2017-01-10,16134,Tuesday
2017-01-11,21602,Wednesday
2017-01-12,15814,Thursday
2017-01-13,35728,Friday
2017-01-14,8614,Saturday
2017-01-15,22101,Sunday
2017-01-16,17557,Monday
2017-01-17,11120,Tuesday
2017-01-18,23174,Wednesday
2017-01-19,16837,Thursday
2017-01-20,24808,Friday
2017-01-21,10537,Saturday
2017-01-22,9659,Sunday
2017-01-23,19690,Monday
2017-01-24,17507,Tuesday
2017-01-25,21846,Wednesday
2017-01-26,16952,Thursday
2017-01-27,41013,Friday
2017-01-28,20146,Saturday
2017-01-29,13444,Sunday
2017-01-30,23712,Monday
2017-01-31,23424,Tuesday
2017-02-01,30284,Wednesday
2017-02-02,22559,Thursday
2017-02-03,30028,Friday
2017-02-04,9814,Saturday
2017-02-05,13764,Sunday
2017-02-06,23620,Monday
2017-02-07,15280,Tuesday
2017-02-08,40298,Wednesday
2017-02-09,25829,Thursday
2017-02-10,23318,Friday
2017-02-11,11610,Saturday
2017-02-12,12735,Sunday
2017-02-13,18554,Monday
2017-02-14,14513,Tuesday
2017-02-15,19809,Wednesday
2017-02-16,15587,Thursday
2017-02-17,16286,Friday
2017-02-18,9193,Saturday
2017-02-19,11797,Sunday
2017-02-20,17869,Monday
2017-02-21,25932,Tuesday
2017-02-22,21498,Wednesday
2017-02-23,17245,Thursday
2017-02-24,30097,Friday
2017-02-25,12326,Saturday
2017-02-26,14560,Sunday
2017-02-27,41794,Monday
2017-02-28,18652,Tuesday
2017-03-01,16825,Wednesday
2017-03-02,16309,Thursday
2017-03-03,18879,Friday
2017-03-04,7686,Saturday
2017-03-05,14253,Sunday
2017-03-06,16230,Monday
2017-03-07,18039,Tuesday
2017-03-08,16636,Wednesday
2017-03-09,18885,Thursday
2017-03-10,14509,Friday
2017-03-11,10023,Saturday
2017-03-12,8711,Sunday
2017-03-13,17451,Monday
2017-03-14,16171,Tuesday
2017-03-15,19974,Wednesday
2017-03-16,17901,Thursday
2017-03-17,18781,Friday
2017-03-18,7878,Saturday
2017-03-19,10625,Sunday
2017-03-20,18747,Monday
2017-03-21,16296,Tuesday
2017-03-22,17809,Wednesday
2017-03-23,16087,Thursday
2017-03-24,38301,Friday
2017-03-25,20858,Saturday
2017-03-26,14158,Sunday
2017-03-27,17328,Monday
2017-03-28,15236,Tuesday
2017-03-29,17609,Wednesday
2017-03-30,12616,Thursday
2017-03-31,16673,Friday
2017-04-01,6462,Saturday
2017-04-02,9526,Sunday
2017-04-03,15139,Monday
2017-04-04,16595,Tuesday
2017-04-05,14400,Wednesday
2017-04-06,15477,Thursday
2017-04-07,19913,Friday
2017-04-08,8424,Saturday
2017-04-09,10149,Sunday
2017-04-10,16534,Monday
2017-04-11,16105,Tuesday
2017-04-12,17529,Wednesday
2017-04-13,13323,Thursday
2017-04-14,12272,Friday
2017-04-15,9052,Saturday
2017-04-16,9672,Sunday
2017-04-17,9007,Monday
2017-04-18,20219,Tuesday
2017-04-19,16032,Wednesday
2017-04-20,15426,Thursday
2017-04-21,24984,Friday
2017-04-22,11088,Saturday
2017-04-23,10362,Sunday
2017-04-24,13792,Monday
2017-04-25,21983,Tuesday
2017-04-26,26452,Wednesday
2017-04-27,15089,Thursday
2017-04-28,19419,Friday
2017-04-29,7440,Saturday
2017-04-30,8899,Sunday
2017-05-01,8039,Monday
2017-05-02,21451,Tuesday
2017-05-03,32074,Wednesday
2017-05-04,16080,Thursday
2017-05-05,16205,Friday
2017-05-06,7454,Saturday
2017-05-07,8953,Sunday
2017-05-08,14327,Monday
2017-05-09,21784,Tuesday
2017-05-10,30319,Wednesday
2017-05-11,16496,Thursday
2017-05-12,38586,Friday
2017-05-13,11149,Saturday
2017-05-14,11226,Sunday
2017-05-15,13614,Monday
2017-05-16,28598,Tuesday
2017-05-17,26777,Wednesday
2017-05-18,20625,Thursday
2017-05-19,23831,Friday
2017-05-20,9402,Saturday
2017-05-21,21995,Sunday
2017-05-22,15469,Monday
2017-05-23,16424,Tuesday
2017-05-24,23669,Wednesday
2017-05-25,9370,Thursday
2017-05-26,25588,Friday
2017-05-27,9429,Saturday
2017-05-28,16107,Sunday
2017-05-29,17517,Monday
2017-05-30,21458,Tuesday
2017-05-31,25362,Wednesday
2017-06-01,13665,Thursday
2017-06-02,16810,Friday
2017-06-03,5631,Saturday
2017-06-04,7086,Sunday
2017-06-05,5723,Monday
2017-06-06,14424,Tuesday
2017-06-07,23246,Wednesday
2017-06-08,10231,Thursday
2017-06-09,14364,Friday
2017-06-10,14380,Saturday
2017-06-11,19655,Sunday
2017-06-12,26729,Monday
2017-06-13,17529,Tuesday
2017-06-14,12445,Wednesday
2017-06-15,13721,Thursday
2017-06-16,15670,Friday
2017-06-17,8181,Saturday
2017-06-18,9813,Sunday
2017-06-19,11343,Monday
2017-06-20,13229,Tuesday
2017-06-21,17650,Wednesday
2017-06-22,11151,Thursday
2017-06-23,10824,Friday
2017-06-24,7097,Saturday
2017-06-25,7334,Sunday
2017-06-26,11409,Monday
2017-06-27,14165,Tuesday
2017-06-28,20206,Wednesday
2017-06-29,11224,Thursday
2017-06-30,9462,Friday
2017-07-01,6415,Saturday
2017-07-02,5645,Sunday
2017-07-03,9188,Monday
2017-07-04,12069,Tuesday
2017-07-05,17530,Wednesday
2017-07-06,8889,Thursday
2017-07-07,9800,Friday
2017-07-08,7321,Saturday
2017-07-09,6480,Sunday
2017-07-10,9376,Monday
2017-07-11,12679,Tuesday
2017-07-12,22269,Wednesday
2017-07-13,8512,Thursday
2017-07-14,7578,Friday
2017-07-15,19459,Saturday
2017-07-16,7075,Sunday
2017-07-17,10522,Monday
2017-07-18,14234,Tuesday
2017-07-19,23297,Wednesday
2017-07-20,12821,Thursday
2017-07-21,19233,Friday
2017-07-22,8263,Saturday
2017-07-23,5284,Sunday
